Epoch 1, Loss: 6.675269018858671
Epoch 2, Loss: 3.209409022703767
Epoch 3, Loss: 2.2070825062692165
Epoch 4, Loss: 1.4760605916380882
Epoch 5, Loss: 0.5438151094131172
Epoch 6, Loss: 0.22332807956263423
Epoch 7, Loss: 0.16180246457224712
Epoch 8, Loss: 0.1286423183628358
Epoch 9, Loss: 0.10363991465419531
Epoch 10, Loss: 0.08483726414851844
Epoch 11, Loss: 0.06792707918793894
Epoch 12, Loss: 0.058135373546974733
Epoch 13, Loss: 0.05266528393258341
Epoch 14, Loss: 0.04930512886494398
Epoch 15, Loss: 0.04350975330453366
Epoch 16, Loss: 0.04178030902403407
Epoch 17, Loss: 0.039622402779059485
Epoch 18, Loss: 0.03732588946877513
Epoch 19, Loss: 0.03674989228602499
Epoch 20, Loss: 0.03267238929402083
Epoch 21, Loss: 0.030176978340023197
Epoch 22, Loss: 0.03003483980137389
Epoch 23, Loss: 0.027578421562793665
Epoch 24, Loss: 0.028746283409418538
Epoch 25, Loss: 0.028006586333503947
Epoch 26, Loss: 0.026823912659892812
Epoch 27, Loss: 0.025807882731896825
Epoch 28, Loss: 0.0235229905374581
